City,State/Country,Code
Aberdeen,SD,ABR
Abilene,TX,ABI
AdakIsland,AK,ADK
Akiachak,AK,KKI
Akiak,AK,AKI
Akron/Canton,OH,CAK
Akuton,AK,KQA
Alakanuk,AK,AUK
Alamogordo,NM,ALM
Alamosa,CO,ALS
Albany,NY,ALB
Albany,OR-Busservice,CVO
Albany,OR-Busservice,QWY
Albuquerque,NM,ABQ
Aleknagik,AK,WKK
Alexandria,LA,AEX
Allakaket,AK,AET
Allentown,PA,ABE
Alliance,NE,AIA
Alpena,MI,APN
Altoona,PA,AOO
Amarillo,TX,AMA
Ambler,AK,ABL
Anaktueuk,AK,AKP
Anchorage,AK,ANC
Angoon,AK,AGN
Aniak,AK,ANI
Anvik,AK,ANV
Appleton,WI,ATW
Arcata,CA,ACV
ArcticVillage,AK,ARC
Asheville,NC,AVL
Ashland,KY/Huntington,HTS
Aspen,CO,ASE
Athens,GA,AHN
Atka,AK,AKB
Atlanta,GA,ATL
AtlanticCity,NJ,AIY
Atqasuk,AK,ATK
Augusta,GA,AGS
Augusta,ME,AUG
Austin,TX,AUS
Bakersfield,CA,BFL
Baltimore,MD,BWI
Bangor,ME,BGR
BarHarbour,ME,BHB
Barrow,AK,BRW
BarterIsland,AK,BTI
BatonRouge,LA,BTR
BayCity,MI,MBS
Beaumont/PortArthur,TX,BPT
BeaverCreek,CO-Vanservice,ZBV
Beaver,AK,WBQ
Beckley,WV,BKW
Bedford,MA,BED
Belleville,IL,BLV
Bellingham,WA,BLI
Bemidji,MN,BJI
BentonHarbor,MI,BEH
Bethel,AK,BET
Bethlehem,PA,ABE
Bettles,AK,BTT
Billings,MT,BIL
Biloxi/Gulfport,MS,GPT
Binghamton,NY,BGM
BirchCreek,AK,KBC
Birmingham,AL,BHM
Bismarck,ND,BIS
BlockIsland,RI,BID
Bloomington,IL,BMI
Bluefield,WV,BLF
Boise,ID,BOI
Boston,MA,BOS
Boulder,CO-Busservice,XHH
Boulder,CO-HiltonsHarH,WHH
Boulder,CO-MunicipalAirport,WBU
Boundary,AK,BYA
BowlingGreen,KY,BWG
Bozeman,MT,BZN
Bradford,PA,BFD
Brainerd,MN,BRD
Brawnwood,TX,BWD
Breckonridge,CO-Vanservice,QKB
Bristol,VA,TRI
Brookings,SD,BKX
BrooksLodge,AK,RBH
Brownsville,TX,BRO
Brunswick,GA,BQK
Buckland,AK,BKC
Buffalo,NY,BUF
BullheadCity/Laughlin,AZ,IFP
Burbank,CA,BUR
Burlington,IA,BRL
Burlington,VT,BTV
Butte,MT,BTM
Canton/Akron,OH,CAK
CapeGirardeau,MO,CGI
CapeLisburne,AK,LUR
